month ,day ,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price
jan,1,,,feb,1,,,march,1,,,april,1,,,may,1,,,june,1,,,july,1,,,august,1,,,sept,1,,,oct,1,,,nov,1,
,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,
,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,
,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,
,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,
,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,
,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,
,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,
,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,
,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,
,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,
,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,
,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,
,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,
,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,
,17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,
,18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,
,19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,
,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,
jan,1,4425,,feb,1,4400,,march,1,4511,,april,1,4475,,may,1,4975,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,
jan,2,4400,,feb,2,5375,,march,2,4450,,april,2,4500,,may,2,4987,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
jan,3,4500,,feb,3,5250,,march,3,4400,,april,3,4675,,may,3,4987,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,
jan,4,4350,,feb,4,5300,,march,4,4350,,april,4,4675,,may,4,4987,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,
jan,5,4450,,feb,5,5300,,march,5,4400,,april,5,4675,,may,5,4862,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,
jan,6,4150,,feb,6,5151,,march,6,4450,,april,6,4875,,may,6,4925,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,
jan,7,4200,,feb,7,4350,,march,7,4400,,april,7,4800,,may,7,4925,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,
jan,8,4200,,feb,8,5150,,march,8,4425,,april,8,4750,,may,8,4925,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,
jan,9,4250,,feb,9,5151,,march,9,4425,,april,9,4875,,may,9,4925,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,
jan,10,5150,,feb,10,5151,,march,10,4425,,april,10,4850,,may,10,4975,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,
jan,11,4250,,feb,11,5300,,march,11,4400,,april,11,4850,,may,11,4975,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,
jan,12,4425,,feb,12,4475,,march,12,4511,,april,12,4850,,may,12,5025,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,
jan,13,4400,,feb,13,4500,,march,13,4450,,april,13,4850,,may,13,5062,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,
jan,14,4500,,feb,14,4475,,march,14,4400,,april,14,4875,,may,14,5160,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,
jan,15,4350,,feb,15,4450,,march,15,4350,,april,15,4800,,may,15,5082,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,
jan,16,4450,,feb,16,4475,,march,16,4400,,april,16,4750,,may,16,5175,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,
jan,17,4150,,feb,17,4450,,march,17,4450,,april,17,4875,,may,17,5207,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,
jan,18,4200,,feb,18,4450,,march,18,4400,,april,18,4850,,may,18,5250,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,
