month,date,area_sown,yield,inflation,price
april,1,5.63,544,4.94,4260
april,2,5.63,544,4.94,4210
april,3,5.63,544,4.94,4185
april,4,5.63,544,4.94,4215
april,5,5.63,544,4.94,4285
april,6,5.63,544,4.94,4225
april,7,5.63,544,4.94,4280
april,8,5.63,544,4.94,4770
april,9,5.63,544,4.94,4305
april,10,5.63,544,4.94,4050
april,11,5.63,544,4.94,4010
april,12,5.63,544,4.94,4080
april,13,5.63,544,4.94,3965
april,14,5.63,544,4.94,3950
april,15,5.63,544,4.94,3935
april,16,5.63,544,4.94,3915
april,17,5.63,544,4.94,3925
april,18,5.63,544,4.94,4015
april,19,5.63,544,4.94,4015
april,20,5.63,544,4.94,4130
april,1,5.99,582,2.94,4350
april,2,5.99,582,2.94,4300
april,3,5.99,582,2.94,4000
april,4,5.99,582,2.94,4450
april,5,5.99,582,2.94,4400
april,6,5.99,582,2.94,4300
april,7,5.99,582,2.94,4300
april,8,5.99,582,2.94,4400
april,9,5.99,582,2.94,4545
april,10,5.99,582,2.94,4350
april,11,5.99,582,2.94,4600
april,12,5.99,582,2.94,4250
april,13,5.99,582,2.94,4115
april,14,5.99,582,2.94,4940
april,15,5.99,582,2.94,4095
april,16,5.99,582,2.94,4150
april,17,5.99,582,2.94,4690
april,18,5.99,582,2.94,4500
april,19,5.99,582,2.94,4198
april,20,5.99,582,2.94,4800
april,1,6.03,624,4.86,5685
april,2,6.03,624,4.86,5675
april,3,6.03,624,4.86,5610
april,4,6.03,624,4.86,5505
april,5,6.03,624,4.86,5355
april,6,6.03,624,4.86,4655
april,7,6.03,624,4.86,5150
april,8,6.03,624,4.86,4910
april,9,6.03,624,4.86,5200
april,10,6.03,624,4.86,5250
april,11,6.03,624,4.86,5250
april,12,6.03,624,4.86,4220
april,13,6.03,624,4.86,5000
april,14,6.03,624,4.86,5110
april,15,6.03,624,4.86,4330
april,16,6.03,624,4.86,5000
april,17,6.03,624,4.86,4450
april,18,6.03,624,4.86,4300
april,19,6.03,624,4.86,4300
april,20,6.03,624,4.86,4075
april,1,6.14,664,7.66,4725
april,2,6.14,664,7.66,4790
april,3,6.14,664,7.66,4910
april,4,6.14,664,7.66,4790
april,5,6.14,664,7.66,4790
april,6,6.14,664,7.66,4840
april,7,6.14,664,7.66,4840
april,8,6.14,664,7.66,4500
april,9,6.14,664,7.66,5005
april,10,6.14,664,7.66,5005
april,11,6.14,664,7.66,4800
april,12,6.14,664,7.66,4850
april,13,6.14,664,7.66,4850
april,14,6.14,664,7.66,4850
april,15,6.14,664,7.66,4700
april,16,6.14,664,7.66,4715
april,17,6.14,664,7.66,4725
april,18,6.14,664,7.66,4750
april,19,6.14,664,7.66,4730
april,20,6.14,664,7.66,4760
april,1,6.1,557,6.76,5995
april,2,6.1,557,6.76,6020
april,3,6.1,557,6.76,5980
april,4,6.1,557,6.76,6020
april,5,6.1,557,6.76,5400
april,6,6.1,557,6.76,5600
april,7,6.1,557,6.76,5600
april,8,6.1,557,6.76,6100
april,9,6.1,557,6.76,6095
april,10,6.1,557,6.76,6200
april,11,6.1,557,6.76,5600
april,12,6.1,557,6.76,5800
april,13,6.1,557,6.76,5900
april,14,6.1,557,6.76,5600
april,15,6.1,557,6.76,5600
april,16,6.1,557,6.76,5736
april,17,6.1,557,6.76,6175
april,18,6.1,557,6.76,5600
april,19,6.1,557,6.76,6075
april,20,6.1,557,6.76,6220
